bucket,number,state,resolution_class,solved,is_meta,signal_score,relevancy_score,combined_score,n_comments,n_participants,n_xref_merged_prs,reactions_total,reopened,labels,created_at,title,url
3,2117,closed,fixed_merged_pr,True,False,0.4677,0.747,0.6074,8,3,1,0,0,question,2023-08-15T19:01:35Z,"Stuck on ""Vehicle is getting ready to arm"" in autopilot_server",https://github.com/mavlink/MAVSDK/issues/2117
0,2659,closed,answered,True,False,0.3622,0.8524,0.6073,7,2,0,0,0,,2025-09-23T14:16:51Z,Help: Multiple Connections via MavSdk_Server,https://github.com/mavlink/MAVSDK/issues/2659
0,2173,closed,abandoned_no_response,False,False,0.2362,0.97,0.6031,2,2,0,0,0,bug,2023-11-09T20:08:59Z,How to use FTP Server and Client working together,https://github.com/mavlink/MAVSDK/issues/2173
0,2127,closed,answered,True,False,0.3055,0.9,0.6028,5,1,0,0,0,bug,2023-09-05T09:27:39Z,"Segfault, pthread_once in CI",https://github.com/mavlink/MAVSDK/issues/2127
3,2221,closed,answered,True,False,0.4609,0.7427,0.6018,5,4,0,0,0,bug,2024-02-14T23:47:47Z,Discrepancy between Documentation and Example,https://github.com/mavlink/MAVSDK/issues/2221
0,1536,closed,answered,True,False,0.376,0.8243,0.6001,7,3,0,0,0,bug,2021-09-08T13:46:43Z,Linking of openssl fails on Ubuntu 18.04,https://github.com/mavlink/MAVSDK/issues/1536
2,1616,closed,abandoned_no_response,False,False,0.4442,0.7516,0.5979,19,3,0,0,0,,2021-11-09T22:05:20Z,Missing Param - SITL. Not reading position,https://github.com/mavlink/MAVSDK/issues/1616
0,2116,closed,answered,True,False,0.3127,0.8826,0.5977,4,3,0,0,0,,2023-08-14T15:55:23Z,Linker error when building with libc++,https://github.com/mavlink/MAVSDK/issues/2116
3,618,closed,answered,True,False,0.5136,0.6781,0.5958,78,4,0,0,0,question,2018-12-05T21:24:34Z,Trouble installing Python wrapper,https://github.com/mavlink/MAVSDK/issues/618
3,2142,closed,fixed_merged_pr,True,False,0.7002,0.4897,0.595,25,5,1,0,1,feature,2023-09-18T13:12:42Z,Adding telemetry logs,https://github.com/mavlink/MAVSDK/issues/2142
3,1527,closed,fixed_merged_pr,True,False,0.6127,0.5719,0.5923,12,5,1,0,0,,2021-09-03T13:11:32Z,Promise already satisfied ,https://github.com/mavlink/MAVSDK/issues/1527
3,2575,closed,fixed_merged_pr,True,False,0.5377,0.6453,0.5915,30,3,1,0,0,bug|docs,2025-05-15T22:28:06Z,Windows 11 dependencies not found,https://github.com/mavlink/MAVSDK/issues/2575
3,938,closed,fixed_stated,True,False,0.6124,0.5697,0.5911,35,9,0,0,0,feature,2019-12-17T23:05:40Z,Rally points uploading mission.,https://github.com/mavlink/MAVSDK/issues/938
0,2119,closed,answered,True,False,0.3643,0.8083,0.5863,7,2,0,0,0,bug,2023-08-18T21:15:30Z,Can't do goto_location or do_orbit with C++ SDK,https://github.com/mavlink/MAVSDK/issues/2119
0,1614,closed,answered,True,False,0.3732,0.7993,0.5862,5,3,0,1,0,bug,2021-11-09T16:23:19Z,Heartbeats times out in SITL with multiple vehicles,https://github.com/mavlink/MAVSDK/issues/1614
0,1656,closed,unclear,,False,0.2898,0.88,0.5849,3,2,0,0,0,,2021-12-28T18:57:18Z,C++ No Mission Progress,https://github.com/mavlink/MAVSDK/issues/1656
3,2256,closed,answered,True,False,0.4249,0.7337,0.5793,15,2,0,0,0,question,2024-03-24T20:36:18Z,mavlink error when adding a udp connection with port forwarding On,https://github.com/mavlink/MAVSDK/issues/2256
1,2128,open,open,,False,0.5723,0.5856,0.579,7,4,0,0,0,question,2023-09-06T12:21:29Z,set flight mode function,https://github.com/mavlink/MAVSDK/issues/2128
3,233,closed,fixed_merged_pr,True,False,0.8297,0.3275,0.5786,28,6,2,0,1,,2018-01-22T19:16:36Z,Flight testing DroneCore examples on Intel Aero,https://github.com/mavlink/MAVSDK/issues/233
3,800,closed,answered,True,False,0.5411,0.6162,0.5786,55,10,0,0,0,bug|more_info_needed,2019-07-17T17:25:25Z,Windows Local Install,https://github.com/mavlink/MAVSDK/issues/800
3,2110,closed,fixed_merged_pr,True,False,0.575,0.5766,0.5758,11,3,2,0,0,bug,2023-08-09T06:21:58Z,ArduPilot - Problem identified that may be causing the mission module to fail (fly_mission example),https://github.com/mavlink/MAVSDK/issues/2110
3,2496,closed,fixed_merged_pr,True,False,0.5661,0.5838,0.575,9,2,1,0,1,bug,2025-01-18T12:20:21Z,Throw invalid argument exception  in camera plugin,https://github.com/mavlink/MAVSDK/issues/2496
3,291,closed,fixed_merged_pr,True,False,0.5848,0.5633,0.574,31,4,1,0,0,enhancement,2018-02-27T13:14:11Z,Can't arm immediately after instantiating Action plugin,https://github.com/mavlink/MAVSDK/issues/291
3,1924,closed,answered,True,False,0.4432,0.7043,0.5737,13,2,0,2,0,,2022-11-04T15:29:40Z,Provided MAVLink headers are installed to the wrong directory,https://github.com/mavlink/MAVSDK/issues/1924
3,1684,closed,answered,True,False,0.466,0.6803,0.5732,7,3,0,0,0,question,2022-01-20T14:14:44Z,undefined reference with debian11_armv7 on RPi,https://github.com/mavlink/MAVSDK/issues/1684
0,1962,closed,fixed_merged_pr,True,False,0.3493,0.7952,0.5723,2,2,2,0,0,bug,2023-01-25T09:29:59Z,Uploading empty mission on mission_raw_server  lead to core dump,https://github.com/mavlink/MAVSDK/issues/1962
2,2349,closed,moved_elsewhere,False,False,0.3299,0.8113,0.5706,6,2,0,0,0,question|more_info_needed,2024-07-12T15:34:28Z,Unable to connect,https://github.com/mavlink/MAVSDK/issues/2349
3,2475,closed,fixed_merged_pr,True,False,0.5075,0.6337,0.5706,6,3,1,1,0,,2024-12-17T13:29:20Z,pkg-config file has CI paths,https://github.com/mavlink/MAVSDK/issues/2475
3,1692,closed,answered,True,False,0.593,0.542,0.5675,17,5,0,0,0,enhancement|help wanted,2022-02-04T08:26:05Z, MAVSDK-Python / examples / camera.py doesn't work,https://github.com/mavlink/MAVSDK/issues/1692
2,1227,closed,wontfix_out_of_scope,False,False,0.4026,0.7299,0.5663,11,3,0,0,0,bug|more_info_needed,2020-10-13T21:15:15Z,Seg fault at system(),https://github.com/mavlink/MAVSDK/issues/1227
3,399,closed,answered,True,False,0.4672,0.6639,0.5655,9,2,0,0,0,,2018-05-18T06:54:36Z,fly_mission and fly_qgc_mission examples freezes on mission accepted,https://github.com/mavlink/MAVSDK/issues/399
0,2426,closed,fixed_merged_pr,True,False,0.3358,0.795,0.5654,3,2,1,0,0,,2024-10-16T13:56:04Z,ArduPilot SITL : SIGSEGV Sending message 76,https://github.com/mavlink/MAVSDK/issues/2426
0,1875,closed,answered,True,False,0.4006,0.7251,0.5628,7,2,0,0,0,question,2022-08-01T00:44:34Z,follow_me.cpp won't build,https://github.com/mavlink/MAVSDK/issues/1875
0,2434,closed,answered,True,False,0.3821,0.7433,0.5627,6,3,0,0,0,,2024-10-24T06:37:50Z,MAVSDK Debian does not include MAVSDK::mavsdk_action target,https://github.com/mavlink/MAVSDK/issues/2434
0,1836,closed,answered,True,False,0.3672,0.7577,0.5625,4,3,0,0,1,,2022-07-05T10:02:43Z,autopilot_server vs 1.4.3 does not compile,https://github.com/mavlink/MAVSDK/issues/1836
0,1789,closed,fixed_stated,True,False,0.3281,0.7959,0.562,4,3,0,0,0,,2022-05-23T11:48:20Z,Command denied appears in logs when mission plugin is instantiated,https://github.com/mavlink/MAVSDK/issues/1789
0,1045,closed,fixed_merged_pr,True,False,0.2548,0.869,0.5619,2,1,1,0,0,bug|ci,2020-04-20T08:48:14Z,Asan issue in SITL v1.9 CI test,https://github.com/mavlink/MAVSDK/issues/1045
0,1778,closed,answered,True,False,0.3104,0.8132,0.5618,3,3,0,0,0,enhancement,2022-05-19T11:57:54Z,Unsupported Mission Commands from QGroundcontrol created mission,https://github.com/mavlink/MAVSDK/issues/1778
2,2615,closed,abandoned_no_response,False,False,0.4664,0.6563,0.5614,17,3,0,0,0,,2025-07-16T15:57:18Z,add_any_connection not working as intended,https://github.com/mavlink/MAVSDK/issues/2615
0,914,closed,answered,True,False,0.3971,0.7244,0.5608,18,2,0,0,0,question,2019-11-26T07:54:23Z,fly_qgc_mission issue: Mission int messages not supported,https://github.com/mavlink/MAVSDK/issues/914
3,2031,closed,fixed_stated,True,False,0.499,0.6219,0.5605,7,4,0,0,0,,2023-05-11T10:54:29Z,Changing mode to GUIDED,https://github.com/mavlink/MAVSDK/issues/2031
0,1153,closed,self_resolved,True,False,0.3798,0.7329,0.5564,11,2,0,0,0,question,2020-07-27T09:03:09Z,How to setup a VTOL takeoff mission with mission_raw?,https://github.com/mavlink/MAVSDK/issues/1153
3,2002,closed,fixed_merged_pr,True,True,0.8267,0.2847,0.5557,13,5,2,3,0,enhancement,2023-03-15T03:48:01Z,Work to get v2.0 out the door,https://github.com/mavlink/MAVSDK/issues/2002
0,1914,closed,answered,True,False,0.3188,0.7917,0.5553,6,2,0,0,0,,2022-10-11T21:13:37Z,Dockcross for armv6 slow,https://github.com/mavlink/MAVSDK/issues/1914
3,106,closed,fixed_stated,True,False,0.4559,0.6523,0.5541,9,3,0,0,0,enhancement|plugins,2017-09-28T10:59:12Z,Dynamic plug-in infrastructure,https://github.com/mavlink/MAVSDK/issues/106
3,1935,closed,answered,True,False,0.5398,0.5659,0.5528,21,3,0,0,2,feature,2022-11-27T22:57:02Z,Emulate Camera in MavSdk,https://github.com/mavlink/MAVSDK/issues/1935
0,2871,closed,fixed_merged_pr,True,False,0.4,0.7054,0.5527,5,2,1,0,0,,2026-04-24T23:17:56Z,Add mavsdk API for STATUSTEXT,https://github.com/mavlink/MAVSDK/issues/2871
0,1582,closed,answered,True,False,0.2656,0.838,0.5518,4,2,0,0,0,,2021-10-27T17:41:03Z,"Can't connect to SITL - ""Ignoring unknown ping sequence"" (possibly not bug)",https://github.com/mavlink/MAVSDK/issues/1582
0,2725,closed,fixed_stated,True,False,0.4076,0.6942,0.5509,8,3,0,0,0,,2025-12-02T01:58:56Z,User callback queue too slow.,https://github.com/mavlink/MAVSDK/issues/2725
0,2355,closed,self_resolved,True,False,0.3183,0.782,0.5502,4,3,0,0,0,question,2024-07-22T07:47:54Z,"Example error ：[ImportError: sys.meta_path is None, Python is likely shutting down]",https://github.com/mavlink/MAVSDK/issues/2355
